iter	Logloss
206	0.5131345895
207	0.5131029665
208	0.5130757673
209	0.5130550794
210	0.5130234781
211	0.5130064938
212	0.5129743719
213	0.5129553165
214	0.5129209921
215	0.5128965777
216	0.5128702598
217	0.5128429597
218	0.5128123501
219	0.5127920588
220	0.5127615826
221	0.5127424441
222	0.5127194755
223	0.5126950517
224	0.5126708764
225	0.5126485082
226	0.5126135651
227	0.5125918802
228	0.5125685383
229	0.5125433792
230	0.512523488
231	0.5125041338
232	0.5124809496
233	0.5124580529
234	0.5124361696
235	0.5124178333
236	0.5123915193
237	0.5123701808
238	0.5123444639
239	0.5123137852
240	0.5122855485
241	0.5122529922
242	0.5122326298
243	0.5122080648
244	0.5121883056
245	0.5121667643
246	0.5121509267
247	0.5121304996
248	0.5121116534
249	0.5120849675
250	0.5120684194
251	0.5120446926
252	0.5120210257
253	0.5120064412
254	0.5119755055
255	0.5119592782
256	0.5119424193
257	0.5119222924
258	0.5119013864
259	0.5118775933
260	0.5118590307
261	0.5118411166
262	0.5118209804
263	0.511805809
264	0.5117893702
265	0.5117733681
266	0.5117567863
267	0.5117305582
268	0.5117090149
269	0.5116883328
270	0.5116694119
271	0.5116505761
272	0.5116279441
273	0.5116119682
274	0.5115904933
275	0.5115712211
276	0.5115535701
277	0.5115362181
278	0.5115116006
279	0.511496992
280	0.5114757915
281	0.5114616723
282	0.5114313534
283	0.5114173493
284	0.5113933151
285	0.511380698
286	0.5113609325
287	0.5113333365
288	0.5113089812
289	0.5112972936
290	0.5112739035
291	0.5112540306
292	0.5112322558
293	0.5112155978
294	0.5111946435
295	0.5111755892
296	0.5111484322
297	0.5111211024
298	0.5110971751
299	0.5110838736
300	0.5110673242
301	0.5110416335
302	0.5110272742
303	0.5110157313
304	0.5110009173
305	0.5109819904
306	0.5109707736
307	0.5109500045
308	0.5109285626
309	0.5109074
310	0.5108826892
311	0.5108671306
312	0.5108501655
313	0.5108345878
314	0.5108175149
315	0.5108012316
316	0.5107847354
317	0.5107590757
318	0.5107453847
319	0.5107296374
320	0.5107090818
321	0.5106993165
322	0.5106821908
323	0.5106665793
324	0.510648939
325	0.510635509
326	0.5106104856
327	0.5105948847
328	0.5105758004
329	0.5105562426
330	0.5105403879
331	0.5105200935
332	0.5105060837
333	0.5104909404
334	0.5104725548
335	0.5104570862
336	0.5104374448
337	0.5104186384
338	0.5104027159
339	0.5103772286
340	0.5103631714
341	0.5103445066
342	0.5103293443
343	0.5103145294
344	0.5103000967
345	0.5102861673
346	0.510268792
347	0.5102549179
348	0.5102382801
349	0.5102239068
350	0.5102119086
351	0.5101904685
352	0.5101734296
353	0.5101559565
354	0.5101391161
355	0.5101183356
356	0.5100983928
357	0.5100853993
358	0.5100748344
359	0.510058763
360	0.5100426468
361	0.5100328025
362	0.5100174724
363	0.5100011779
364	0.5099828662
365	0.5099649234
366	0.5099525076
367	0.5099346414
368	0.5099201755
369	0.5099083645
370	0.5098948594
371	0.5098766646
372	0.5098564416
373	0.5098422133
374	0.5098310075
375	0.5098187387
376	0.5098048818
377	0.5097880289
378	0.5097820197
379	0.5097635646
380	0.5097511582
381	0.5097391875
382	0.5097271013
383	0.5097150926
384	0.5096975608
385	0.5096884836
386	0.5096631622
387	0.5096476077
388	0.509630404
389	0.5096129227
390	0.5095989988
391	0.5095851491
392	0.5095729467
393	0.5095526864
394	0.5095372127
395	0.5095266534
396	0.5095144053
397	0.5094977142
398	0.5094756698
399	0.5094644283
400	0.5094463254
401	0.5094360578
402	0.5094159734
403	0.5094048067
404	0.5093912677
405	0.509378875
406	0.5093635677
407	0.5093547302
408	0.5093394845
409	0.5093188124
410	0.5093075481
411	0.5092884255
412	0.5092761524
413	0.5092629457
414	0.5092481177
415	0.5092344557
416	0.509222417
417	0.5092108002
418	0.5091980842
419	0.5091796957
420	0.5091652749
421	0.5091480168
422	0.5091364027
423	0.5091264835
424	0.5091086781
425	0.5090969348
426	0.5090841144
427	0.5090758721
428	0.5090632276
429	0.5090441596
430	0.5090327826
431	0.5090160541
432	0.5089990383
433	0.5089849372
434	0.5089684889
435	0.5089568303
436	0.508940143
437	0.5089275373
438	0.5089157105
439	0.5089011358
440	0.5088908684
441	0.5088794066
442	0.5088649609
443	0.5088437869
444	0.5088287255
445	0.5088135105
446	0.5088034372
447	0.5087938498
448	0.5087786246
449	0.5087645676
450	0.5087512245
451	0.5087380561
452	0.5087223162
453	0.5087136992
454	0.508701896
455	0.5086856428
456	0.5086688006
457	0.5086582029
458	0.5086435352
459	0.5086264847
460	0.5086165886
461	0.5086029261
462	0.5085904511
463	0.5085758626
464	0.5085577797
465	0.5085458256
466	0.5085333769
467	0.5085206152
468	0.5085062139
469	0.5084949755
470	0.5084850418
471	0.5084660983
472	0.5084482584
473	0.5084316082
474	0.5084173233
475	0.5084088585
476	0.5083948145
477	0.5083822676
478	0.5083744057
479	0.5083562015
480	0.5083459981
481	0.5083326664
482	0.5083182365
483	0.5083098989
484	0.5083004151
485	0.5082892814
486	0.5082731898
487	0.5082562941
488	0.5082462345
489	0.5082378065
490	0.5082282722
491	0.5082152408
492	0.5082068334
493	0.5081935002
494	0.5081826651
495	0.5081740391
496	0.5081600674
497	0.508146398
498	0.5081334485
499	0.5081206748
